id,product_name,amount,expiration_date
1,Beer - Jupiler,75,24/10/2020
2,Wine - Morvan,45,28/4/2021
3,Shrimp",24,20/10/2020
4,Skewers,30,31/1/2021
5,White chocolate,45,24/10/2020
6,Bernaise Sauce,94,19/4/2021
7,Brandy Cherry - Mcguinness,68,14/2/2021
8,Truffle Cups,13,22/1/2021
9,"Flour - Bran, Red",20,27/10/2020
10,Cabbage - Savoy,59,27/9/2021
11,Rabbit - Whole,5,2/12/2020
12,Pineapple - Golden,91,13/12/2020
13,Cheese - Gouda Smoked,89,24/10/2020
14,"Wine - Magnotta, White",95,18/3/2021
15,"Lemonade - Mandarin, 591 Ml",98,19/11/2020
16,Sauce - Mint,61,1/11/2020
17,Amarula Cream,5,5/4/2021
18,Lamb - Shanks,73,28/4/2021
19,"Bread - Dark Rye, Loaf",9,31/12/2020
20,Red Currants,65,4/3/2021
21,Wine - Cotes Du Rhone Parallele,32,12/10/2020
22,Walkers Special Old Whiskey,96,12/4/2021
23,Buffalo - Striploin,9,2/2/2021
24,Juice - Ocean Spray Cranberry,73,14/10/2020
25,Butter - Pod,7,3/6/2021
26,Table Cloth - 53x69 Colour,80,14/12/2020
27,Table Cloth 54x72 Colour,3,16/5/2021
28,Tilapia - Fillets,11,4/2/2021
29,Longan,55,31/5/2021
30,Eggplant Oriental,16,28/12/2020
31,Berry Brulee,28,3/12/2020
32,"Shrimp - 16 - 20 Cooked, Peeled",45,2/12/2020
33,Rambutan,77,22/10/2020
34,French Pastry - Mini Chocolate,23,18/6/2021
35,Black Currants,21,6/4/2021
36,Sauce - Mint,19,29/5/2021
37,Buffalo - Short Rib Fresh,96,23/12/2020
38,"Lamb - Leg, Diced",62,4/1/2021
39,Calypso - Lemonade,84,11/8/2021
40,Flower - Commercial Bronze,91,6/9/2021
41,Pepper - Green,61,27/3/2021
42,Cheese - Perron Cheddar,60,5/7/2021
43,Wine - Chianti Classica Docg,97,16/4/2021
44,Cheese - Grie Des Champ,32,9/3/2021
45,Figs,3,25/4/2021
46,Pants Custom Dry Clean,76,19/1/2021
47,Tamarind Paste,50,27/11/2020
48,Cranberry Foccacia,32,11/3/2021
49,Coffee - 10oz Cup 92961,26,23/8/2021
50,Snapple Lemon Tea,16,23/10/2020
